player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Mathias Jensen,319859,€12.00m,"Jan 1, 1996",30,1.8,Denmark,Central Midfield,Brentford,,"Jul 10, 2019","Jun 30, 2026",GB1,25/26
Adam Armstrong,250426,€8.00m,"Feb 10, 1997",29,1.73,England,Centre-Forward,Wolves,,"Feb 2, 2026","Jun 30, 2029",GB1,25/26
Mads Hermansen,400536,€15.00m,"Jul 11, 2000",25,1.87,Denmark,Goalkeeper,West Ham,,"Aug 9, 2025","Jun 30, 2030",GB1,25/26
Diogo Dalot,357147,€30.00m,"Mar 18, 1999",27,1.83,Portugal,Right-Back,Man Utd,,"Jul 1, 2018","Jun 30, 2028",GB1,25/26
Adam Aznou,938146,€7.00m,"Jun 2, 2006",19,1.78,Morocco,Left-Back,Everton,,"Jul 29, 2025","Jun 30, 2029",GB1,25/26
Nathan Fraser,863741,€600k,"Feb 22, 2005",21,1.88,Ireland,Centre-Forward,Wolves,,"Jan 1, 2024","Jun 30, 2028",GB1,25/26
Rico Henry,339556,€15.00m,"Jul 8, 1997",28,1.7,Jamaica,Left-Back,Brentford,,"Aug 31, 2016","Jun 30, 2026",GB1,25/26
Patrick Dorgu,926952,€35.00m,"Oct 26, 2004",21,1.85,Denmark,Left-Back,Man Utd,,"Feb 2, 2025","Jun 30, 2030",GB1,25/26
Max Weiß,829299,€4.00m,"Jun 15, 2004",21,1.9,Germany,Goalkeeper,Burnley,,"Jul 1, 2025","Jun 30, 2029",GB1,25/26
Ismaïla Sarr,410225,€35.00m,"Feb 25, 1998",28,1.85,Senegal,Right Winger,Crystal Palace,,"Aug 1, 2024","Jun 30, 2029",GB1,25/26
Adrien Truffert,654539,€25.00m,"Nov 20, 2001",24,1.76,France,Left-Back,Bournemouth,,"Jul 1, 2025","Jun 30, 2030",GB1,25/26
Borna Sosa,293194,€4.00m,"Jan 21, 1998",28,1.87,Croatia,Left-Back,Crystal Palace,,"Jul 11, 2025","Jun 30, 2028",GB1,25/26
Junior Kroupi,955357,€40.00m,"Jun 23, 2006",19,1.79,France,Centre-Forward,Bournemouth,,"Feb 3, 2025","Jun 30, 2030",GB1,25/26
Jarrod Bowen,314875,€35.00m,"Dec 20, 1996",29,1.76,England,Right Winger,West Ham,,"Jan 31, 2020","Jun 30, 2030",GB1,25/26
Curtis Jones,433188,€35.00m,"Jan 30, 2001",25,1.85,England,Central Midfield,Liverpool,,"Jul 1, 2020","Jun 30, 2027",GB1,25/26
Antonín Kinský,725912,€13.00m,"Mar 13, 2003",23,1.9,Czech Republic,Goalkeeper,Tottenham,,"Jan 5, 2025","Jun 30, 2029",GB1,25/26
William Saliba,495666,€90.00m,"Mar 24, 2001",25,1.92,France,Centre-Back,Arsenal,,"Jul 25, 2019","Jun 30, 2030",GB1,25/26
Chris Richards,578539,€25.00m,"Mar 28, 2000",26,1.88,United States,Centre-Back,Crystal Palace,,"Jul 27, 2022","Jun 30, 2027",GB1,25/26
Levi Colwill,614258,€50.00m,"Feb 26, 2003",23,1.87,England,Centre-Back,Chelsea,,"Jul 1, 2022","Jun 30, 2029",GB1,25/26
Riccardo Calafiori,502821,€50.00m,"May 19, 2002",23,1.88,Italy,Left-Back,Arsenal,,"Jul 29, 2024","Jun 30, 2029",GB1,25/26
Trey Nyoni,1045123,€6.00m,"Jun 30, 2007",18,1.8,England,Central Midfield,Liverpool,,"Jul 1, 2025","Jun 30, 2030",GB1,25/26
