player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Sebastián Boselli,Getafe,0,0.39554721489548683,0,0.28201672434806824,4,1,0.35161851719021797,0.047451701015233994,La_liga,25/26
Veljko Birmancevic,Getafe,0,0.06350088492035866,0,0.10946157574653625,2,2,1.493745282292366,1.3207827620208263,La_liga,25/26
Yvan Neyou,Getafe,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Zaid Romero,Getafe,1,1.0052571017295122,0,0.0902770534157753,10,2,2.842687303200364,2.554918821901083,La_liga,25/26
Abel Ruiz,Girona,0,0.29203977435827255,0,0.1312386691570282,5,2,1.2712495923042297,0.8877681791782379,La_liga,25/26
Alejandro Francés,Girona,0,0.6590694738551974,2,1.4396104291081429,16,10,6.060367487370968,5.5678981095552444,La_liga,25/26
Arnau Martinez,Girona,2,2.124434665776789,3,2.70481881685555,19,23,10.917901353910565,8.976429961621761,La_liga,25/26
Axel Witsel,Girona,1,2.5918547697365284,2,2.218277433887124,20,17,10.09136007912457,9.34759215824306,La_liga,25/26
Azz-Eddine Ounahi,Girona,5,3.8501516468822956,2,5.440476134419441,51,35,13.077412985265255,8.065416779369116,La_liga,25/26
Bojan Miovski,Girona,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Bryan Gil Salvatierra,Girona,0,3.14223606325686,3,3.6251211799681187,27,21,11.089613553136587,6.996503568254411,La_liga,25/26
Claudio Echeverri,Girona,1,2.120521953329444,1,1.088322913274169,21,8,4.070073027163744,1.4420119039714336,La_liga,25/26
Cristhian Stuani,Girona,5,5.82486117631197,0,0.1323026791214943,19,2,3.2117518186569214,0.5094254016876221,La_liga,25/26
Daley Blind,Girona,0,0.2643272480927408,0,0.7392632644623518,5,11,10.429523061960936,10.079609762877226,La_liga,25/26
David López,Girona,0,0.6544463038444519,0,0.0,1,0,0.7772146426141262,0.7772146426141262,La_liga,25/26
Dawda Camara,Girona,0,0.16032399237155914,0,0.07423870265483856,2,1,0.13990389555692673,0.0,La_liga,25/26
Donny van de Beek,Girona,0,0.07745239697396755,0,0.0,2,0,0.37449878454208374,0.29704639315605164,La_liga,25/26
Hugo Rincón,Girona,1,0.6909217592328787,1,1.3317618854343891,7,10,5.528506241738796,4.207219677045941,La_liga,25/26
Iván Martín,Girona,0,1.1094311196357012,1,2.176630087196827,13,26,10.834588035941124,8.479688461869955,La_liga,25/26
Jhon Solis,Girona,0,0.1824372038245201,0,0.06164813041687012,3,1,0.8263201098889112,0.7203838434070349,La_liga,25/26
Joel Roca,Girona,3,4.518066472373903,1,1.9510410130023956,48,16,8.29686073306948,1.9931063894182444,La_liga,25/26
Juan Arango,Girona,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Ladislav Krejcí,Girona,0,0.12153472751379013,0,0.0,1,0,0.11344128288328648,0.11344128288328648,La_liga,25/26
Lancinet Kourouma,Girona,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Marc-André ter Stegen,Girona,0,0.0,0,0.0,0,0,0.024569794535636902,0.024569794535636902,La_liga,25/26
Paulo Gazzaniga,Girona,0,0.0,0,0.0,0,0,4.276501512154937,4.276501512154937,La_liga,25/26
Portu,Girona,0,1.6742162741720676,0,0.18959057331085205,9,3,2.053294636309147,0.457047451287508,La_liga,25/26
Thomas Lemar,Girona,3,1.774252887815237,1,1.3809418808668852,17,19,6.247596652712673,3.8158258427865803,La_liga,25/26
Viktor Tsygankov,Girona,6,7.313595972955227,5,4.26087084133178,50,55,15.098643213510513,5.471966687589884,La_liga,25/26
Vitor Reis,Girona,1,1.9711542688310146,1,0.8653075750917196,19,8,9.510100200772285,8.20014369674027,La_liga,25/26
Vladyslav Krapyvtsov,Girona,0,0.0,0,0.0,0,0,0.06566519290208817,0.06566519290208817,La_liga,25/26
Vladyslav Vanat,Girona,9,9.496832385659218,1,2.1041252370923758,27,12,8.851113688200712,1.6265962794423103,La_liga,25/26
Yangel Herrera,Girona,0,0.689001614227891,0,0.05489660054445267,6,2,1.6791701149195433,1.4945150688290596,La_liga,25/26
Yáser Asprilla,Girona,0,0.5583002185449004,0,1.7849864326417446,15,12,1.4411142249591649,0.7090051285922527,La_liga,25/26
Álex Moreno,Girona,0,1.5723254941403866,3,2.917876537889242,17,16,10.622359491884708,6.971142928581685,La_liga,25/26
Adrián De la Fuente,Levante,3,4.289415382780135,1,1.4081206684932113,39,18,6.009899263270199,5.362125953659415,La_liga,25/26
Alan Matturro,Levante,1,0.9369660560041666,1,1.1987895714119077,8,4,3.3469478487968445,1.891314934939146,La_liga,25/26
Carlos Espí,Levante,11,9.884630508720875,0,0.6899255998432636,57,9,9.323621347546577,0.3610123936086893,La_liga,25/26
Carlos Álvarez,Levante,3,2.646204930730164,1,4.597994323819876,31,40,10.988976924680173,6.164044106379151,La_liga,25/26
Diego Pampín,Levante,0,0.13482686132192612,0,0.10395562648773193,3,3,1.4976367056369781,1.25885421782732,La_liga,25/26
Etta Eyong,Levante,7,11.020547241903841,4,2.822161927819252,50,15,12.05828979704529,2.071900935843587,La_liga,25/26
Goduine Koyalipou,Levante,1,1.2652598228305578,0,0.35875242948532104,10,1,1.43799864128232,0.0,La_liga,25/26
Iker Losada,Levante,3,2.140321670100093,1,0.5301704537123442,14,11,2.3661416564136744,0.4045812226831913,La_liga,25/26
Iván Romero,Levante,7,9.594019802287221,1,2.88573707267642,59,25,14.721420374698937,4.722817124798894,La_liga,25/26
Jeremy Toljan,Levante,1,0.848660696297884,4,4.971433887258172,9,28,12.49036306887865,9.120427509769797,La_liga,25/26
Jon Ander Olasagasti,Levante,1,2.1322602536529303,5,4.480237754993141,28,36,7.8441795744001865,4.710497124120593,La_liga,25/26
Jorge Cabello,Levante,0,0.0,0,0.0,0,0,0.7887009792029858,0.7887009792029858,La_liga,25/26
Kareem Tunde,Levante,0,1.2944607771933079,1,0.6319677345454693,21,6,3.7132494738325477,2.09413805231452,La_liga,25/26
Kervin Arriaga,Levante,3,1.0908419089391828,3,1.162239396944642,16,7,5.125545285642147,3.795021541416645,La_liga,25/26
Manuel Sánchez,Levante,1,1.2062672171741724,2,1.9893938563764095,13,17,9.18354762159288,7.061968881636858,La_liga,25/26
Mat Ryan,Levante,0,0.0933680385351181,0,0.0,2,0,3.368032854050398,3.2746648155152798,La_liga,25/26
Matías Moreno,Levante,0,1.2664381377398968,0,0.6804856397211552,10,8,8.4254733286798,7.8222153298556805,La_liga,25/26
Morales,Levante,1,2.511188435833901,1,1.1046443730592728,11,7,5.004151001106948,2.22667851485312,La_liga,25/26
Nacho Pérez,Levante,0,0.0,0,0.1981816329061985,0,2,0.22319402173161507,0.02501237578690052,La_liga,25/26
Oriol Rey,Levante,0,0.35154401417821646,1,0.257574962452054,8,10,6.560898684896529,6.077804811298847,La_liga,25/26
Pablo Cuñat,Levante,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Pablo Martínez,Levante,1,1.9152403939515352,5,5.4764400301501155,28,36,8.163186241872609,4.934909150004387,La_liga,25/26
Paco Cortés,Levante,0,0.5373847614973783,0,1.0183412544429302,12,6,2.012773670256138,0.5975478962063789,La_liga,25/26
Roger Brugué,Levante,1,4.378684105351567,1,0.8359398394823074,28,8,6.560833714902401,3.0389231741428375,La_liga,25/26
Sergio Lozano,Levante,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Tai Abed,Levante,0,0.16298653185367584,0,0.39156463742256165,2,1,0.5877043940126896,0.03315320983529091,La_liga,25/26
Ugo Raghouber,Levante,0,0.08310647308826447,0,0.17258523777127266,3,4,1.1282448451966047,1.0098904836922884,La_liga,25/26
Unai Elgezabal,Levante,1,0.6192532349377871,0,0.13390958681702614,3,2,1.4656495973467827,1.4656495973467827,La_liga,25/26
Unai Vencedor,Levante,0,0.0,0,1.5092242825776339,0,12,2.1353150978684425,1.1437988132238388,La_liga,25/26
Víctor García,Levante,2,1.9078138787299395,1,1.7659303694963455,19,14,3.2827370427548885,0.8745370730757713,La_liga,25/26
